cluster,query,demand,priority,intent,landing,note
01_массаж_категория,массаж Иваново,ВЧ,P1,коммерческий,/,Главная + /massazh/
01_массаж_категория,массажный салон Иваново,СЧ,P1,коммерческий,/,Главная + /massazh/
01_массаж_категория,салон массажа Иваново,СЧ,P1,коммерческий,/,Главная + /massazh/
01_массаж_категория,массаж Иваново цены,СЧ,P1,коммерческий,/,Главная + /massazh/
01_массаж_категория,массаж Иваново адрес,НЧ,P2,коммерческий,/,Главная + /massazh/
01_массаж_категория,массаж Иваново записаться,НЧ,P1,коммерческий,/,Главная + /massazh/
01_массаж_категория,массаж в Иванове недорого,СЧ,P2,коммерческий,/,Главная + /massazh/
01_массаж_категория,где сделать массаж Иваново,НЧ,P2,коммерческий,/,Главная + /massazh/
01_массаж_категория,массаж Иваново Батурина,НЧ,P2,коммерческий,/,Главная + /massazh/
01_массаж_категория,массаж Иваново отзывы,СЧ,P2,коммерческий,/,Главная + /massazh/
02_спа_категория,спа Иваново,ВЧ,P1,коммерческий,/spa-programmy/,
02_спа_категория,спа салон Иваново,ВЧ,P1,коммерческий,/spa-programmy/,
02_спа_категория,spa салон Иваново,СЧ,P1,коммерческий,/spa-programmy/,
02_спа_категория,спа центр Иваново,СЧ,P2,коммерческий,/spa-programmy/,
02_спа_категория,спа процедуры Иваново,СЧ,P1,коммерческий,/spa-programmy/,
02_спа_категория,спа Иваново цены,СЧ,P1,коммерческий,/spa-programmy/,
02_спа_категория,лучший спа салон Иваново,НЧ,P2,коммерческий,/spa-programmy/,
03_тайский_ойл,тайский массаж Иваново,ВЧ,P1,коммерческий,/massazh/tayskiy-oyl-massazh/,Ключевой дифференциатор vs клиники
03_тайский_ойл,тайский ойл массаж Иваново,СЧ,P1,коммерческий,/massazh/tayskiy-oyl-massazh/,Ключевой дифференциатор vs клиники
03_тайский_ойл,oil массаж Иваново,НЧ,P1,коммерческий,/massazh/tayskiy-oyl-massazh/,Ключевой дифференциатор vs клиники
03_тайский_ойл,ойл массаж Иваново,СЧ,P1,коммерческий,/massazh/tayskiy-oyl-massazh/,Ключевой дифференциатор vs клиники
03_тайский_ойл,тайский массаж Иваново цены,СЧ,P1,коммерческий,/massazh/tayskiy-oyl-massazh/,Ключевой дифференциатор vs клиники
03_тайский_ойл,тайский массаж Иваново запись,НЧ,P1,коммерческий,/massazh/tayskiy-oyl-massazh/,Ключевой дифференциатор vs клиники
03_тайский_ойл,массаж горячим маслом Иваново,НЧ,P2,коммерческий,/massazh/tayskiy-oyl-massazh/,Ключевой дифференциатор vs клиники
04_массаж_зоны,массаж спины Иваново,СЧ,P1,коммерческий,/massazh/massazh-spiny-i-plech/,
04_массаж_зоны,массаж спины и плеч Иваново,СЧ,P1,коммерческий,/massazh/massazh-spiny-i-plech/,
04_массаж_зоны,массаж шеи и плеч Иваново,НЧ,P1,коммерческий,/massazh/massazh-spiny-i-plech/,
04_массаж_зоны,антистрессовый массаж Иваново,СЧ,P1,коммерческий,/massazh/massazh-spiny-i-plech/,
04_массаж_зоны,массаж головы Иваново,СЧ,P1,коммерческий,/massazh/massazh-golovy/,
04_массаж_зоны,массаж лица Иваново,СЧ,P1,коммерческий,/massazh/massazh-litsa/,
04_массаж_зоны,массаж ног Иваново,СЧ,P1,коммерческий,/massazh/massazh-nog/,
04_массаж_зоны,массаж стоп Иваново,НЧ,P2,коммерческий,/massazh/massazh-nog/,
05_массаж_фигура_спорт,антицеллюлитный массаж Иваново,ВЧ,P1,коммерческий,/massazh/antitsellyulitnyy-massazh/,Без лечебных обещаний в текстах
05_массаж_фигура_спорт,лимфодренажный массаж Иваново,СЧ,P1,коммерческий,/massazh/limfodrenazhnyy-massazh/,Без лечебных обещаний в текстах
05_массаж_фигура_спорт,медовый массаж Иваново,СЧ,P1,коммерческий,/massazh/medovyy-massazh/,Без лечебных обещаний в текстах
05_массаж_фигура_спорт,спортивный массаж Иваново,СЧ,P1,коммерческий,/massazh/sportivnyy-massazh/,Без лечебных обещаний в текстах
06_массаж_авторский,массаж горячими камнями Иваново,СЧ,P1,коммерческий,/massazh/massazh-goryachimi-kamnyami/,"НЧ — низкая конкуренция, важно для охвата"
06_массаж_авторский,стоун массаж Иваново,НЧ,P1,коммерческий,/massazh/massazh-goryachimi-kamnyami/,"НЧ — низкая конкуренция, важно для охвата"
06_массаж_авторский,массаж травяными мешками Иваново,НЧ,P1,коммерческий,/massazh/massazh-travyanymi-meshkami/,"НЧ — низкая конкуренция, важно для охвата"
06_массаж_авторский,балийский массаж Иваново,СЧ,P1,коммерческий,/massazh/baliyskiy-massazh/,"НЧ — низкая конкуренция, важно для охвата"
06_массаж_авторский,массаж в четыре руки Иваново,СЧ,P1,коммерческий,/massazh/massazh-v-chetyre-ruki/,"НЧ — низкая конкуренция, важно для охвата"
06_массаж_авторский,массаж 4 руки Иваново,НЧ,P1,коммерческий,/massazh/massazh-v-chetyre-ruki/,"НЧ — низкая конкуренция, важно для охвата"
06_массаж_авторский,массаж свечой Иваново,НЧ,P2,коммерческий,/massazh/massazh-tayushchey-svechoy/,"НЧ — низкая конкуренция, важно для охвата"
06_массаж_авторский,массаж тающей свечой Иваново,НЧ,P2,коммерческий,/massazh/massazh-tayushchey-svechoy/,"НЧ — низкая конкуренция, важно для охвата"
06_массаж_авторский,массаж горячими апельсинами Иваново,НЧ,P2,коммерческий,/massazh/massazh-goryachimi-apelsinami/,"НЧ — низкая конкуренция, важно для охвата"
06_массаж_авторский,массаж можжевеловыми шариками Иваново,НЧ,P2,коммерческий,/massazh/massazh-mozhzhevelovymi-sharikami/,"НЧ — низкая конкуренция, важно для охвата"
07_спа_программы,спа программы Иваново,СЧ,P1,коммерческий,/spa-programmy/,
07_спа_программы,спа ритуал Иваново,НЧ,P2,коммерческий,/spa-programmy/,
07_спа_программы,спа уход за телом Иваново,НЧ,P2,коммерческий,/spa-programmy/,
